Age,Age_Bin,Gender,Education,Income,Race,RaisedCity,RaisedState,RaisedZip,RaisedPlace,Latitude,Longitude,RaisedYears,CG_1018.1,CG_1021.1,CG_1023,CG_1024.1,CG_1025.1,CG_1026.1,CG_1080,CG_1081,CG_1082,CU_1019.1,CU_1020.1,CU_1027.1,CU_1060.1,CU_1078,CU_1079,PI_1035,PI_1115,PI_1160,PI_1161,PI_1162,PI_1163,PI_1164,PI_1165,PI_1167,PI_1169,PI_1170,PI_1171,PI_1172,PI_1173,PI_1174,PR_1101,PR_1102,PR_1116,PR_1117,PR_1118.1,PR_1119,PR_1120,PR_1121,PR_1122,PR_1123,PR_1124,PR_1125,PR_1175,PR_1176,PR_1177,AmazonID,ResponseID,SurveyLatitude,SurveyLongitude,CG_Min,CU_Max,Min_Max_Discard,CG_Score,CU_Score,C_Sum_Discard,Discard?,MomCity,MomState,MomCountry,DadCity,DadState,DadCountry,CurrentCity,CurrentState,CurrentZip,CurrentYears,Race_Other,RaisedOther,Languages,LanguageList
20,18-30,Male,HS_diploma,100000,White,Asheville,NC,28805,"Asheville, NC",35.58567,-82.5222595,20,5,5,5,5,4,5,5,5,5,2,1,2,1,2,2,2,5,1,5,4,4,3,5,5,4,4,2,2,5,2,5,1,5,5,2,5,4,4,5,5,4,5,2,5,4,APSP9NBS1JLLB,R_bPJipmnkbQip0od,35.52830505,-82.52249908,4,2,No,4.888888889,1.666666667,No,No,Black Mountain,NC,,Asheville,NC,,Asheville,NC,28805,20,,,1,
32,31-40,Male,Bachelors,37500,White,Park Forest,IL,60466,"Park Forest, IL",41.48039303,-87.68480899,32,3,5,5,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3,5,3,3,5,5,5,3,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,4,2,AI7YTRYN64K0Z,R_4YDVzzum0sgcmoJ,41.4631958,-87.69300079,3,3,No,4.333333333,3,Consider,Flag,Park Forest,IL,,Park Forest,IL,,Park Forest,IL,60466,32,,,1,
29,18-30,Male,No_degree,12500,White,Chaplin,CT,06235,"Chaplin, CT",41.796737,-72.1333685,14,5,5,5,5,5,5,5,5,5,1,1,1,1,2,2,1,1,1,3,5,1,1,5,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,AOXM7IK32TST5,R_cGsbiPsLGcM7ikd,41.98660278,-72.25340271,5,2,No,5,1.333333333,No,No,Austin,TX,,Anaheim,CA,,Stafford Springs,CT,06076,10,,,1,
24,18-30,Male,No_degree,37500,White,Farmingville,NY,11738,"Farmingville, NY",40.8377375,-73.040695,12,5,5,5,5,3,5,4,5,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A3527QDVIOHI8E,R_1UhAprAHklwdDTf,33.83790588,-84.38459778,3,2,No,4.666666667,1.166666667,No,No,Albany,NY,,Allentown,PA,,Buckhead,GA,30305,1,,,1,
44,41-50,Male,No_degree,100000,White,Oradell,NJ,07649,"Oradell, NJ",40.9550535,-74.0331915,25,5,5,5,5,4,5,4,5,5,1,1,2,2,2,1,2,1,1,1,1,1,1,2,4,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AFDC9A6Z60W2Z,R_572VdxXUm4zAFw1,,,4,2,No,4.777777778,1.5,No,No,Hawthorne,NJ,,West New York,NJ,,West Milford Township,NJ,07680,16,,,1,
37,31-40,Male,No_degree,62500,White,Dallas,TX,75201,"Dallas, TX",32.791886,-96.7854515,20,4,4,4,5,4,5,3,5,4,1,1,1,1,2,2,1,3,1,3,2,1,1,4,5,1,1,1,2,1,1,5,1,3,5,3,1,5,2,5,4,4,4,1,1,3,A207149DHAS89K,R_cNFBhqjBSouBi61,32.957901,-96.62359619,3,2,No,4.222222222,1.333333333,No,No,Dallas,TX,,Dallas,TX,,Austin,TX,78717,6,,,1,
24,18-30,Male,No_degree,87500,White,Pompano Beach,FL,33060,"Pompano Beach, FL",26.2365755,-80.1286555,22,5,5,5,5,4,5,4,4,5,1,1,1,1,1,3,4,1,1,5,4,1,1,5,5,1,1,1,2,3,1,1,2,3,2,1,2,2,2,2,2,5,2,1,2,4,A3TRSQMOLWJV44,R_6Ec0Lic4kLskZhz,,,4,3,No,4.666666667,1.333333333,No,No,Toms River,NJ,,Fort Lauderdale,FL,,Boca Raton,FL,33496,2,,,1,
25,18-30,Female,Graduate,1,Asian,Sandusky,OH,44870,"Sandusky, OH",41.4453825,-82.71037,16,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AN4XJ7FJVV1EA,R_8pNh2pQerzgBgFf,,,1,1,Consider,4.555555556,1,No,Flag,Liloan,,Philippines - PH,Sandusky,OH,,Riverside,CA,92507,1,,,1,
38,31-40,Female,Bachelors,100000,White,Brentford,SD,57429,"Brentford, SD",45.161328,-98.320927,18,5,5,3,5,5,5,5,5,5,1,1,3,1,3,2,5,3,1,4,5,1,1,4,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,AA4T7L2N9LNKI,R_8HVrbDVBDHylebX,43.7183075,-98.02619934,3,3,No,4.777777778,1.833333333,No,No,Brentford,SD,,Brentford,SD,,Mitchell,SD,57301,12,,,1,
58,51-60,Male,Bachelors,12500,White,Willoughby,OH,44094,"Willoughby, OH",41.637757,-81.410986,43,1,5,5,5,5,5,5,5,5,4,2,1,1,2,1,1,1,2,1,3,1,1,2,5,1,2,1,3,5,1,1,1,2,2,2,1,1,2,1,2,3,2,1,3,2,A34RRC4E4QMFI2,R_3OfxVyshJkwqKON,,,1,4,Consider,4.555555556,1.833333333,No,Flag,Mentor,OH,,Rock Creek,OH,,Willoughby,OH,44094,43,,,1,
28,18-30,Female,No_degree,12500,White,Itasca Township,MN,55730,"Itasca Township, MN",47.1903415,-94.582003,24,5,5,5,4,2,5,4,5,3,1,1,1,1,1,1,3,1,2,2,4,2,1,3,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A1S6QWSCBRYSFZ,R_6JwrIn2imQ0eH53,47.87190247,-97.15029907,2,1,Consider,4.222222222,1,No,Flag,Itasca Township,MN,,,,,Itasca Township,MN,55720,24,,,1,
24,18-30,Female,Bachelors,37500,White,Boulder,CO,80303,"Boulder, CO",40.009408,-105.2455615,24,5,5,5,5,5,5,4,4,5,1,1,1,2,1,1,2,2,1,2,2,1,1,2,5,3,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,A1LXHIGEIAZRWB,R_1Ib1Kh2qUCt8cyV,,,4,2,No,4.777777778,1.166666667,No,No,Boulder,CO,,Other,NJ,,Boulder,CO,80303,24,,,1,
