Age,Age_Bin,Gender,Education,Race,City.US.Raised,Raised.State,Latitude,Longitude,City.US.Fa,Father.State,City.US.Mo,Mother.State,City.US.Curr,Current.State,SurveyType,PI_1181,PI_1182,PI_1042
29,18-30,Male,HS_diploma,White,New Kensington,PA,33.03619385,-96.67120361,Leechburg,PA,,,Johnstown,PA,9,NA,NA,NA
33,31-40,Male,Bachelors,White,Fairmont,WV,39.39390564,-80.29389954,Clarksburg,WV,Stonewood,WV,Fairmont,WV,9,NA,NA,NA
28,18-30,Female,No_degree,White,Harbor Beach,MI,43.61470032,-84.79270172,Harbor Beach,MI,Port Hope,MI,Mount Pleasant,MI,9,NA,NA,NA
32,31-40,Male,Bachelors,White,Wappingers Falls,NY,41.5276947,-73.90720367,Montrose,NY,Mahopac,NY,Wappingers Falls,NY,9,NA,NA,NA
29,18-30,Female,Bachelors,White,Beavercreek Township,OH,42.10450745,-79.2519989,Gaithersburg,MD,Laurel,MD,Lakewood,NY,9,NA,NA,NA
28,18-30,Male,No_degree,White,Philadelphia,PA,40.64149475,-75.2276001,Philadelphia,PA,Philadelphia,PA,Nazareth,PA,9,NA,NA,NA
38,31-40,Male,No_degree,White,Blue Springs,MO,27.8625946,-82.70939636,Council Bluffs,IA,Council Bluffs,IA,Tampa,FL,9,NA,NA,NA
63,61_up,Female,Bachelors,White,Slidell,LA,33.42590332,-88.83029938,Missouri Township - Pike County,AR,De Kalb,MS,De Kalb,MS,9,NA,NA,NA
35,31-40,Female,Associates,Asian,Felton,DE,39.08230591,-75.61219788,Anniston,AL,,,Dover,DE,9,NA,NA,NA
24,18-30,Male,No_degree,White,Coshocton,OH,40.25939941,-81.9641037,Coshocton,OH,Coshocton,OH,Coshocton,OH,9,NA,NA,NA
40,31-40,Male,Bachelors,White,Flushing,MI,42.77049255,-83.74669647,Flint,MI,Flint,MI,Swartz Creek,MI,9,NA,NA,NA
41,41-50,Male,HS_diploma,White,Easton,PA,39.91549683,-88.89179993,,,Womelsdorf,PA,Decatur,IL,9,NA,NA,NA
60,51-60,Female,Graduate,Black,Brooklyn,NY,40.64489746,-73.95829773,,,Brooklyn,NY,Brooklyn,NY,9,NA,NA,NA
25,18-30,Male,HS_diploma,White,Pinellas Park,FL,27.97569275,-82.74289703,,,,,Clearwater,FL,9,NA,NA,NA
41,41-50,Female,Graduate,White,Maryville,TN,39.42019653,-86.58380127,Anderson,IN,Anderson,IN,Gosport,IN,9,NA,NA,NA
25,18-30,Female,Bachelors,Hispanic,Hartford City,IN,42.0092926,-88.09259796,Anderson Township - Madison County,IN,,,Hartford City,IN,9,NA,NA,NA
41,41-50,Female,Bachelors,Asian,Austin,TX,30.44160461,-97.59860229,Tuba City,AZ,,,Austin,TX,9,NA,NA,NA
27,18-30,Male,Associates,White,Long Valley,NJ,37.75100708,-97.8219986,East Hanover Township,NJ,Glen Rock,NJ,Oxford,NJ,9,NA,NA,NA
45,41-50,Male,No_degree,White,Novi,MI,41.89370728,-87.79019928,Inkster,MI,Lexington-Fayette,KY,Daytona Beach,FL,9,NA,NA,NA
